State,Unemployment
California,7.3
Nevada,7.2
New York,6.9
New Mexico,6.8
District of Columbia,6.6
Alaska,6.4
Connecticut,6.3
Pennsylvania,6.3
New Jersey,6.3
Illinois,6.1
Michigan,5.9
Maryland,5.8
Texas,5.7
Hawaii,5.7
Massachusetts,5.7
Rhode Island,5.6
Mississippi,5.6
Louisiana,5.5
Colorado,5.4
Delaware,5.3
Oregon,5.2
Washington,5.2
Ohio,5.1
West Virginia,5
Arizona,4.9
North Carolina,4.8
Kentucky,4.7
Florida,4.6
Maine,4.6
Wyoming,4.5
Missouri,4.4
Tennessee,4.3
Iowa,4.2
Arkansas,4
South Carolina,4
Georgia,3.9
Virginia,3.9
Wisconsin,3.8
Oklahoma,3.8
North Dakota,3.7
Indiana,3.6
Idaho,3.6
New Hampshire,3.5
Alabama,3.4
Montana,3.4
Vermont,3.4
Minnesota,3.4
Kansas,3.2
South Dakota,3.1
Utah,2.7
Nebraska,2.5
